year,site,site_name,lat_long,compass_direction,transect_ft,slope_cm,string_cm,Bare,Green_Algae,Brown_Algae,Red_Algae,Barnacles,Tube_Worms,Z_japonica,Z_marina,Anemone,Mussels,vegePresence_transect_m,vegePresence_under,vegePresence_over,vegetation_plot,understory_species,understory_cover,undercover_health,overstory_species,overstory_cover,overstory_health,overstory_diameter_m,wrack_sample,wrack_transect_m,wrackline,wrack_Green_Algae,wrack_Brown_Algae,wrack_Red_Algae,wrack_Dead_Algae,wrack_Eelgrass,wrack_Terrestrial_plants,wrack_Trash,sediment_location,sediment_sample,sediment_transect_m,sed_size_E,sed_size_D,sed_size_C,sed_size_B,sed_size_A,sed_size_E_5cm,sed_size_D_5cm,sed_size_C_5cm,sed_size_B_5cm,sed_size_A_5cm,dune_sample,dune_transect_m,dune_density,dune_cover,dune_width_m,log_sample,log_transect_m,log_width_m,large_logs,small_logs,natural_logs,human_logs,moss_logs,lichen_logs,barnacle_logs,plant_logs,chem_transect,chem_temperature_C,chem_SpC_microSpercm,chem_sal_ppt,chem_pH,chem_tur_NTU,chem_LDO_mgperL,chem_LDO_percent,chem_phosphate,chem_nitrate
2019,F,Point White Dock,"47°35.980'N,-122°34.593'W",225°SW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Dunegrass,0.15,4,NA,NA,NA,NA,1,4,Old,0,0,0,0.04,0.04,0.1,0,High,1,8,0.01,0.15,0.04,0.4,0.4,0,0.1,0.05,0.4,0.45,1,2,18,1,2,1,2,0.5,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,2,-8,62,1,0,0,0,0,0,0,0,0,0,1,1,0,1,Gumweed,0.05,3,NA,NA,NA,NA,2,5,Old,0,0,0,0.2,0.25,0.2,0.02,High,2,14,0.1,0.2,0.3,0.3,0.1,0,0.2,0.2,0.3,0.3,2,5,13,0.8,1.7,2,3,1.3,1,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,4,-8.5,60.5,1,0,0,0,0,0,0,0,0,0,2,1,0,1,Ambrosia,0.35,5,NA,NA,NA,NA,3,7,Old,0,0,0,0.02,0.02,0.05,0,High,3,15,0,0.2,0.2,0.3,0.3,0,0.08,0.12,0.4,0.4,3,16,0,0,0,3,4,0.5,1,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,6,-7.9,54.5,1,0,0,0,0,0,0,0,0,0,3,1,0,1,Queen Anns Lace,0.05,5,NA,NA,NA,NA,4,11,Old,0,0,0,0.01,0.01,0.15,0,High,4,22,0,0.3,0.35,0.35,0,0,0.1,0.2,0.35,0.35,4,35,0,0,0,4,36,0.2,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,7,-5,30,1,0,0,0,0,0,0,0,0,0,4,1,0,1,Yarrow,0.15,3,NA,NA,NA,NA,5,17,Old,0,0,0,0.08,0.01,0.8,0,High,5,37,0,0.6,0.2,0.2,0,0,0.2,0.4,0.4,0,5,44,0,0,0,5,43,0.95,2,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,8,-4.5,31,1,0,0,0,0,0,0,0,0,0,5,1,0,1,Rumex,0.05,2,NA,NA,NA,NA,6,20,Old,0,0,0.01,0,0.01,0.5,0.01,Middle,1,7,0.21,0.56,0.09,0.09,0.05,0,0.1,0.2,0.35,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,11,-15,87,1,0,0,0,0,0,0,0,0,0,6,1,0,1,Meadow Barley,0.05,4,NA,NA,NA,NA,7,33,Old,0,0,0.01,0.05,0.01,0.05,0.01,Middle,2,24,0.25,0.35,0.12,0.28,0,0.13,0.07,0.08,0.64,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,14,-11.5,83,1,0,0,0,0,0,0,0,0,0,7,1,0,1,Orache,0.05,3,NA,NA,NA,NA,8,36,Old,0.25,0.15,0.1,0,0.01,0.1,0,Middle,3,29,0.26,0.64,0.05,0.05,0,0.08,0.17,0.25,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,17,-8,86,1,0,0,0,0,0,0,0,0,0,8,1,0,1,Dandilion,0.05,2,NA,NA,NA,NA,9,38,Old,0.2,0.4,0.1,0,0.01,0.02,0,Middle,4,34,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,F,Point White Dock,NA,NA,20,-12,85.4,1,0,0,0,0,0,0,0,0,0,9,1,0,1,Poppy,0.05,4,NA,NA,NA,NA,10,45,Old,0,0,0,0.25,0.01,0.15,0,Middle,5,39,0.6,0.2,0.1,0.1,0,0.1,0.02,0.08,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
