"","site","elevation_ft","width_ft","Biology","Presence","Bio.Colors"
"1","F",14.981046,0,"Bare",1,"black"
"2","F",14.718566,2.03422,"Bare",1,"black"
"3","F",14.439681,4.019225,"Bare",1,"black"
"4","F",14.180482,5.80737,"Bare",1,"black"
"5","F",14.016432,6.79167,"Bare",1,"black"
"6","F",13.868787,7.80878,"Bare",1,"black"
"7","F",13.376637,10.66325,"Bare",1,"black"
"8","F",12.999322,13.38648,"Bare",1,"black"
"9","F",12.736842,16.20814,"Bare",1,"black"
"10","F",12.343122,19.010114,"Bare",1,"black"
"11","F",11.949402,21.913799,"Bare",1,"black"
"12","F",11.686922,24.906071,"Bare",1,"black"
"13","F",11.391632,27.652268,"Bare",1,"black"
"14","F",11.145557,30.500176,"Bare",1,"black"
"15","F",10.774804,33.321836,"Bare",1,"black"
"16","F",10.489357,36.176306,"Bare",1,"black"
"17","F",10.079232,38.948751,"Bare",1,"black"
"18","F",9.862686,41.793378,"Bare",1,"black"
"19","F",9.534586,44.667534,"Bare",1,"black"
"20","F",9.193362,47.390764,"Bare",1,"black"
"21","F",8.865262,50.274763,"Bare",1,"black"
"22","F",8.569972,53.05377,"Bare",1,"black"
"23","F",8.422327,56.07229,"Bare",1,"black"
"24","F",8.258277,58.998942,"Bare",1,"black"
"25","F",7.962987,61.787792,"Bare",1,"black"
"26","F",7.680821,64.760378,"Bare",1,"black"
"27","F",7.385531,67.680468,"Bare",1,"black"
"28","F",7.057431,70.633368,"Green_Algae",1,"seagreen"
"29","F",7.057431,70.633368,"Brown_Algae",1,"chocolate4"
"30","F",7.057431,70.633368,"Barnacles",1,"bisque2"
"31","F",6.817918,73.42878,"Barnacles",1,"bisque2"
"32","F",6.522628,76.51292,"Barnacles",1,"bisque2"
"33","F",6.224057,79.43301,"Barnacles",1,"bisque2"
"34","F",6.010792,82.294042,"Green_Algae",1,"seagreen"
"35","F",6.010792,82.294042,"Barnacles",1,"bisque2"
"36","F",5.666287,85.397868,"Barnacles",1,"bisque2"
"37","F",5.502237,88.22609,"Barnacles",1,"bisque2"
"38","F",5.239757,91.27742,"Barnacles",1,"bisque2"
"39","F",4.878847,94.42718,"Barnacles",1,"bisque2"
"40","F",4.583557,97.429295,"Barnacles",1,"bisque2"
"41","F",4.435912,100.49703,"Green_Algae",1,"seagreen"
"42","F",4.435912,100.49703,"Barnacles",1,"bisque2"
"43","F",4.239052,103.420401,"Green_Algae",1,"seagreen"
"44","F",4.239052,103.420401,"Barnacles",1,"bisque2"
"45","F",3.868299,106.228937,"Barnacles",1,"bisque2"
"46","F",3.530356,109.299953,"Barnacles",1,"bisque2"
"47","F",3.218661,112.325035,"Red_Algae",1,"firebrick"
"48","F",3.218661,112.325035,"Barnacles",1,"bisque2"
"49","F",3.038206,115.35996,"Red_Algae",1,"firebrick"
"50","F",3.038206,115.35996,"Barnacles",1,"bisque2"
"51","F",3.005396,118.319422,"Red_Algae",1,"firebrick"
"52","F",3.005396,118.319422,"Barnacles",1,"bisque2"
"53","F",2.824941,121.236231,"Red_Algae",1,"firebrick"
"54","F",2.824941,121.236231,"Barnacles",1,"bisque2"
"55","F",2.444345,124.277718,"Green_Algae",1,"seagreen"
"56","F",2.444345,124.277718,"Red_Algae",1,"firebrick"
"57","F",2.444345,124.277718,"Barnacles",1,"bisque2"
"58","F",1.952195,127.476693,"Green_Algae",1,"seagreen"
"59","F",1.952195,127.476693,"Red_Algae",1,"firebrick"
"60","F",1.952195,127.476693,"Barnacles",1,"bisque2"
"61","F",1.67331,130.370535,"Green_Algae",1,"seagreen"
"62","F",1.67331,130.370535,"Red_Algae",1,"firebrick"
"63","F",1.67331,130.370535,"Barnacles",1,"bisque2"
"64","F",1.67331,130.370535,"Tube_Worms",1,"gold"
"65","F",1.460045,133.297187,"Green_Algae",1,"seagreen"
"66","F",1.460045,133.297187,"Red_Algae",1,"firebrick"
"67","F",1.460045,133.297187,"Barnacles",1,"bisque2"
"68","F",1.460045,133.297187,"Tube_Worms",1,"gold"
"69","F",1.253342,136.332112,"Green_Algae",1,"seagreen"
"70","F",1.253342,136.332112,"Barnacles",1,"bisque2"
"71","F",1.253342,136.332112,"Tube_Worms",1,"gold"
"72","F",1.145069,139.291574,"Green_Algae",1,"seagreen"
"73","F",1.145069,139.291574,"Red_Algae",1,"firebrick"
"74","F",1.145069,139.291574,"Barnacles",1,"bisque2"
"75","F",1.145069,139.291574,"Tube_Worms",1,"gold"
"76","F",0.898994,142.32978,"Green_Algae",1,"seagreen"
"77","F",0.898994,142.32978,"Red_Algae",1,"firebrick"
"78","F",0.898994,142.32978,"Barnacles",1,"bisque2"
"79","F",0.898994,142.32978,"Tube_Worms",1,"gold"
"80","F",0.689009999999997,145.256432,"Green_Algae",1,"seagreen"
"81","F",0.689009999999997,145.256432,"Barnacles",1,"bisque2"
"82","F",0.689009999999997,145.256432,"Tube_Worms",1,"gold"
"83","F",0.393719999999997,148.225737,"Green_Algae",1,"seagreen"
"84","F",0.393719999999997,148.225737,"Barnacles",1,"bisque2"
"85","F",0.393719999999997,148.225737,"Tube_Worms",1,"gold"
"86","F",0.229669999999998,151.145827,"Green_Algae",1,"seagreen"
"87","F",0.229669999999998,151.145827,"Brown_Algae",1,"chocolate4"
"88","F",0.229669999999998,151.145827,"Barnacles",1,"bisque2"
"89","F",0.229669999999998,151.145827,"Tube_Worms",1,"gold"
"90","F",-0.0492150000000019,154.085603,"Green_Algae",1,"seagreen"
"91","F",-0.0492150000000019,154.085603,"Brown_Algae",1,"chocolate4"
"92","F",-0.0492150000000019,154.085603,"Red_Algae",1,"firebrick"
"93","F",-0.0492150000000019,154.085603,"Barnacles",1,"bisque2"
"94","F",-0.0492150000000019,154.085603,"Tube_Worms",1,"gold"
"95","F",-0.232950999999999,157.06147,"Green_Algae",1,"seagreen"
"96","F",-0.232950999999999,157.06147,"Brown_Algae",1,"chocolate4"
"97","F",-0.232950999999999,157.06147,"Red_Algae",1,"firebrick"
"98","F",-0.232950999999999,157.06147,"Barnacles",1,"bisque2"
"99","F",-0.479026,159.952031,"Green_Algae",1,"seagreen"
"100","F",-0.479026,159.952031,"Red_Algae",1,"firebrick"
"101","F",-0.479026,159.952031,"Barnacles",1,"bisque2"
"102","F",-0.479026,159.952031,"Tube_Worms",1,"gold"
"103","F",-0.708696000000001,162.937741,"Green_Algae",1,"seagreen"
"104","F",-0.708696000000001,162.937741,"Brown_Algae",1,"chocolate4"
