"","Site","wrackline","variable","value"
"1","A","New","Green Algae",0
"2","B","New","Green Algae",0.194
"3","C","New","Green Algae",0.211
"4","D","New","Green Algae",0.047
"5","E","New","Green Algae",0.48
"6","F","New","Green Algae",0.247
"7","G","New","Green Algae",0.93
"8","H","New","Green Algae",0.505
"9","K","New","Green Algae",0.318
"10","L","New","Green Algae",0.456
"11","M","New","Green Algae",0.183
"12","N","New","Green Algae",0.027
"13","P","New","Green Algae",0.693
"14","S","New","Green Algae",0.69
"15","U","New","Green Algae",0.013
"16","Z","New","Green Algae",0.895
"17","A","Old","Green Algae",0
"18","B","Old","Green Algae",0.065
"19","C","Old","Green Algae",0.058
"20","D","Old","Green Algae",0.01
"21","E","Old","Green Algae",0.237
"22","F","Old","Green Algae",0.045
"23","G","Old","Green Algae",0
"24","H","Old","Green Algae",0
"25","K","Old","Green Algae",0
"26","L","Old","Green Algae",0.013
"27","M","Old","Green Algae",0.038
"28","N","Old","Green Algae",0
"29","P","Old","Green Algae",0.229
"30","S","Old","Green Algae",0
"31","U","Old","Green Algae",0
"32","Z","Old","Green Algae",0
"33","A","New","Brown Algae",0
"34","B","New","Brown Algae",0
"35","C","New","Brown Algae",0.011
"36","D","New","Brown Algae",0
"37","E","New","Brown Algae",0.014
"38","F","New","Brown Algae",0.123
"39","G","New","Brown Algae",0.002
"40","H","New","Brown Algae",0.035
"41","K","New","Brown Algae",0.021
"42","L","New","Brown Algae",0.009
"43","M","New","Brown Algae",0.018
"44","N","New","Brown Algae",0.079
"45","P","New","Brown Algae",0.001
"46","S","New","Brown Algae",0.026
"47","U","New","Brown Algae",0.007
"48","Z","New","Brown Algae",0.003
"49","A","Old","Brown Algae",0
"50","B","Old","Brown Algae",0
"51","C","Old","Brown Algae",0
"52","D","Old","Brown Algae",0
"53","E","Old","Brown Algae",0.029
"54","F","Old","Brown Algae",0.055
"55","G","Old","Brown Algae",0
"56","H","Old","Brown Algae",0
"57","K","Old","Brown Algae",0
"58","L","Old","Brown Algae",0
"59","M","Old","Brown Algae",0.012
"60","N","Old","Brown Algae",0
"61","P","Old","Brown Algae",0
"62","S","Old","Brown Algae",0
"63","U","Old","Brown Algae",0
"64","Z","Old","Brown Algae",0
"65","A","New","Red Algae",0
"66","B","New","Red Algae",0.021
"67","C","New","Red Algae",0.03
"68","D","New","Red Algae",0.004
"69","E","New","Red Algae",0.001
"70","F","New","Red Algae",0.067
"71","G","New","Red Algae",0.004
"72","H","New","Red Algae",0.004
"73","K","New","Red Algae",0.012
"74","L","New","Red Algae",0.009
"75","M","New","Red Algae",0.008
"76","N","New","Red Algae",0
"77","P","New","Red Algae",0.003
"78","S","New","Red Algae",0.005
"79","U","New","Red Algae",0
"80","Z","New","Red Algae",0.008
"81","A","Old","Red Algae",0
"82","B","Old","Red Algae",0
"83","C","Old","Red Algae",0
"84","D","Old","Red Algae",0.002
"85","E","Old","Red Algae",0
"86","F","Old","Red Algae",0.022
"87","G","Old","Red Algae",0
"88","H","Old","Red Algae",0
"89","K","Old","Red Algae",0
"90","L","Old","Red Algae",0
"91","M","Old","Red Algae",0
"92","N","Old","Red Algae",0
"93","P","Old","Red Algae",0
"94","S","Old","Red Algae",0
"95","U","Old","Red Algae",0
"96","Z","Old","Red Algae",0
"97","A","New","Dead Algae",0
"98","B","New","Dead Algae",0
"99","C","New","Dead Algae",0
"100","D","New","Dead Algae",0
"101","E","New","Dead Algae",0
"102","F","New","Dead Algae",0
"103","G","New","Dead Algae",0
"104","H","New","Dead Algae",0
"105","K","New","Dead Algae",0
"106","L","New","Dead Algae",0
"107","M","New","Dead Algae",0.012
"108","N","New","Dead Algae",0.036
"109","P","New","Dead Algae",0
"110","S","New","Dead Algae",0
"111","U","New","Dead Algae",0
"112","Z","New","Dead Algae",0
"113","A","Old","Dead Algae",0
"114","B","Old","Dead Algae",0.146
"115","C","Old","Dead Algae",0.015
"116","D","Old","Dead Algae",0.082
"117","E","Old","Dead Algae",0
"118","F","Old","Dead Algae",0.065
"119","G","Old","Dead Algae",0.134
"120","H","Old","Dead Algae",0.075
"121","K","Old","Dead Algae",0.283
"122","L","Old","Dead Algae",0.185
"123","M","Old","Dead Algae",0.03
"124","N","Old","Dead Algae",0.023
"125","P","Old","Dead Algae",0.076
"126","S","Old","Dead Algae",0.122
"127","U","Old","Dead Algae",0.002
"128","Z","Old","Dead Algae",0.013
"129","A","New","Eelgrass",0.269
"130","B","New","Eelgrass",0.004
"131","C","New","Eelgrass",0.009
